consuming_tx_hash,epoch_no,block_time,iog_dest_ids_count,e2_dest_ids_count
a6b154d334dfc26c716de979d9f3a3986118b693a6e39a3e6e317958ed5f6bb6,255,2021-03-22 12:44:10+00,72,24
2e6ca674577582d35cb8522efaa834871c2dd1ed233a2d2ed2e54c6b52101630,255,2021-03-26 02:40:15+00,12,12
c0ab47fb5aa6941ea31cbd78575f04ecab03590a56053f9a45cc2f8cf18bbad5,255,2021-03-22 17:43:05+00,22,44
2b72941120f0e123ed42f627bd11d822e0b24e081bb11fffc8f486fe8e4b5a45,255,2021-03-22 17:01:59+00,20,20
eb1777761398678119ae39fa830fcbe40d2e9e4993f3f993d8db794108d2d21e,255,2021-03-24 04:31:00+00,8,8
e10d973c46e5d15007482b8cee56fb99c533418d10a9c8cd3955125e215f0881,255,2021-03-25 00:28:47+00,20,20
bf79eaee730a3aa4ce47bf241c8193525ed4ac01a717525da3ffebdc400775b1,256,2021-03-27 22:41:59+00,10,10
a5c3f6ffc8026d4ebcdae9ef28f4da5e2879debdd3af5066f85b1009a1dd5658,256,2021-03-26 23:45:54+00,32,16
84b7d45a5cc51f0d262daa407f8b3c279ea8281e0423f0b0145def7bb5adf9ae,256,2021-03-27 04:22:40+00,16,16
2c4723010af046dfd8b0d3216ef50dc455722652e9a4cddf8a8065adf53ff349,256,2021-03-27 22:52:15+00,18,18
e4e732e940b2e90e280ef6a5e159c4b9058ae6133ff398d0d0e03cbcb0e31dc3,256,2021-03-31 11:03:34+00,12,6
c66eb9d219bdfbfc0eb5487d575a2dadbbb4458e69fcb922fcba804709d10ec9,256,2021-03-29 17:52:13+00,12,12
6f24c47ec9a2cb77c16ef5ba52ed9573d8748e3758f52ae0bfd8ac5551d4f2aa,257,2021-04-03 06:16:27+00,16,16
b9087dba8f1f9cc43571e1d77ff81416be584447121fd67b238254a119b2828c,257,2021-04-04 06:47:07+00,6,6
206650a1825e6bfc9ad47c50e176eac18f25dbdc720f54ec8c9ef37aba9ff88b,257,2021-04-03 18:34:09+00,8,16
d979b238f7d9e9ccdf31bc5bb79b8bcfba2adcf2cf2f8ca3418129e8ebdbaf2b,258,2021-04-06 16:27:17+00,14,14
fa66f1b8558fbe419370e16aea3f052d98bd45594c1df5840ffe7b9817131281,258,2021-04-06 17:17:47+00,20,20
297a558859c15ff26b5184cf44fecf5c5b1c52ca692ef721cb02abcec7d0a477,258,2021-04-09 17:17:12+00,2,2
abbe049d2167866bb96f7230d02d9e6a04d7294e4d0c74c01a0ea68c5bf4d78c,258,2021-04-06 12:00:59+00,12,12
634d5de1576ad926159b25844e2a8bd37626f62812b84da42abe326c5be0fc1c,258,2021-04-07 12:06:57+00,8,8
08fb668a973a1731cbde664d766e8fd509185fd46546aa210b0c79ae1f3bad21,259,2021-04-14 10:06:20+00,24,48
3fce4f8c3278370afd3550390dc4a571ea95f8910105c265ddab1f43b873a5d7,259,2021-04-12 17:11:26+00,10,10
70931ec5f7404907bff7f02baaeea9f25c0af019186748c28d4fce0367121012,259,2021-04-12 05:38:52+00,14,14
