epoch_no,drep_id,drep_hash_id,has_script,amount_lovelace,active_until
653,drep15jspgw8ea9pw3w0fwyqam2lw58ulw7z6qhr8qyuah7j0yj962w7,351,False,15402871532975,670
653,drep15l8ngwtywu59eshrw6nswa5y2mh2p2699za5w6v2nzsqg7x33af,141089,False,323769202328,667
653,drep15lqht2vkyxmjtpeyd228py6p334ac46w7g89zd3eze2wxndrs67,121875,False,12809237,593
653,drep15mr008j83j7n0aet3rfpw92trx24gc7hjmjdrk50fh9xslp09mx,42031,False,350755134844094,666
653,drep15nvw9d6zr6m08dpckkx4d3g6dplc5vh7yhekyjw0vq07spk38ak,38,False,1253374711984,658
653,drep15q4rllknnyn2yt7kdzvdg4upwhezvswcsyuqurh3a72jkd6klvc,21756,False,574452105,546
653,drep15t44tkj2h0x7p2n8ewufh4fsk754adlftngrefzgz587sgm4k45,298,False,4941455804970,670
653,drep15td6lshfws8kezwkts6ysjacashk9y6ldl2v50klr3v8urfg02k,923,False,263214247197,617
653,drep15v2a3djn6jp0efdr7q5ym9gndzj3gs83mtj0ngcvm73gugewgp2,36,False,1337360,529
653,drep15vadnrvmpksyx62q8pja6elxzwaummp4fdycu84f4uqwch7gmad,41458,False,12246671,558
653,drep15ve4z0r9zrdrecsnxcmsyep5g98yyh9vuddzvgs9vhahyqc9397,24148,False,251771026,547
653,drep15xhrqd8cpt0cwnp3rd77qg9fq73mpvp438pl2pqkmnasvccr5la,75793,False,4060376888,652
653,drep15y3pc20hxt6nlcghxqdvy84apd70nn2v9kclt4cwx8x22feha07,253175,False,35597095405,662
653,drep15ynskcmxneumg7qr4ucpu2k6lsjh5fzns8esd0njszxcjd8ynsv,226453,False,162242502971,649
653,drep15z2zrh8un2smxx328hajphnhu9kqmghcxftnp3xc4m4jut898u7,52901,False,214066164,597
653,drep160cr2l7qsv404mwywar4tm7gj0px3d928ran4xjcdygnkucg7pf,19772,False,8793799013,546
653,drep160v90f47eeqscq9aglzh8qxv8plskgxjtj9qgplgsz0kwskskjs,1494,False,5002823065939,671
653,drep1632ttkftqnz28ww5rvat0ew2t30g8sx45tld7tw2x0ywsjk0r0t,164819,False,72948544949,614
653,drep166gcv68vrh3qmgeprvzxkjqnpc5a5nuzu56xa8fauydyvmllfnv,6238,False,74162445518,670
653,drep168a76y8ehsuszd2l26m6ndj5jv6v526ysudv70sdp0nfj54v7pt,48728,False,1016687658409,672
653,drep168zlqu8zua840gr8xalhk2p4r3hvz7r8hhswngyw06gsqp0khfw,30823,False,1293807687431,665
