endpoint,endpoint_kind,target_host,target_port,resolved_ip,handshake_ok,failure,error_detail,rtt_ms,block_no,slots_behind_tip,at_tip,checked_at
ipv4:173.249.48.125,ipv4,173.249.48.125,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:21:04+00
ipv4:173.255.203.8,ipv4,173.255.203.8,6000,173.255.203.8,t,,,42.23,13865142,-49,t,2026-08-28 00:51:53+00
ipv4:173.67.34.67,ipv4,173.67.34.67,6000,173.67.34.67,t,,,30.95,13865142,-49,t,2026-08-28 00:51:53+00
ipv4:173.67.34.69,ipv4,173.67.34.69,7001,173.67.34.69,t,,,31.7,13865142,-49,t,2026-08-28 00:51:54+00
ipv4:176.126.87.127,ipv4,176.126.87.127,6000,176.126.87.127,t,,,113.98,13865142,-49,t,2026-08-28 00:51:54+00
ipv4:176.31.101.166,ipv4,176.31.101.166,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:21:04+00
ipv4:176.57.184.116,ipv4,176.57.184.116,6000,176.57.184.116,t,,,109.77,13695758,3467239,f,2026-08-28 00:51:54+00
ipv4:176.9.70.105,ipv4,176.9.70.105,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:21:05+00
ipv4:178.104.110.250,ipv4,178.104.110.250,6000,178.104.110.250,t,,,120.05,13695758,3467239,f,2026-08-28 00:51:55+00
ipv4:178.119.19.15,ipv4,178.119.19.15,8090,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:21:05+00
ipv4:178.128.144.26,ipv4,178.128.144.26,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:21:05+00
ipv4:178.128.166.247,ipv4,178.128.166.247,2021,,f,refused,Connection refused,,,,f,2026-08-28 01:21:06+00
ipv4:178.128.174.41,ipv4,178.128.174.41,1988,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:21:06+00
ipv4:178.128.204.9,ipv4,178.128.204.9,3000,,f,refused,Connection refused,,,,f,2026-08-28 01:21:06+00
