snapshot_utc,trace_schema,latest_drep_id_bech32,latest_drep_hash_id,drep_distribution_epoch,drep_voting_power_lovelace,drep_voting_power_ada,behavior_class,dedup_current_utxos,dedup_current_stake_credentials,dedup_current_lovelace,dedup_current_ada,trace_value_to_drep_power_ratio,min_depth,max_depth,root_overlap_summary
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1ne7qj099vlqwspcjfgtyp0839uxa5k86wl0kp0l44ksp7zenth8,14834,640,107973352733,107973.352733,weak_behavior_signal,1,1,542762416,542.762416,0.00502682,14,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1ukanq0sluynnjnumywfp5du3w9qtkgs4q48gpcwvj8nyg9264gf,20350,640,1845663164291,1845663.164291,weak_behavior_signal,2,2,540000000,540.0,0.00029258,12,13,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1ya6hzdt4kplm2zfnshschz8vweujcxt3f4azyvaplk6xjyw262e,48,640,51408914737712,51408914.737712,coordinated_like,3,3,511900205,511.900205,9.96e-06,12,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep15t44tkj2h0x7p2n8ewufh4fsk754adlftngrefzgz587sgm4k45,298,640,783910126747,783910.126747,weak_behavior_signal,6,6,505000000,505.0,0.00064421,14,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1uygrv5qxyalmdgu0xdjh8ru6juae6426y6048fugyf97g4srzkn,139,640,8804485500584,8804485.500584,weak_behavior_signal,1,1,497000000,497.0,5.645e-05,14,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep13qrhsx7qm7cm70ky0eynzat4vsmrqmlwqc0ntyfk0kh75yxfxf2,7965,640,455142491237,455142.491237,weak_behavior_signal,1,1,494703800,494.7038,0.00108692,14,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1plm3zm53xcusez3sx0hx3htz27sdlgux04ulagvngq4zu7cry5f,2,640,151036696976,151036.696976,weak_behavior_signal,6,6,472715979,472.715979,0.00312981,14,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1egcdpv48sektp2sq5y3psve88e6xpd2ve902v24cud8mc2jhxz0,4071,640,2030231124237,2030231.124237,weak_behavior_signal,2,2,439100000,439.1,0.00021628,13,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1j4llv3mhppzqvu39xzfwj6p26rysc5fd3nqzrpefly3vx3ya34a,41828,640,506847523730,506847.52373,weak_behavior_signal,1,1,418978630,418.97863,0.00082664,14,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1npqc9m60dg9a27e852jn8wse9h3l975qsgwgh22mmh2eqzrlsfc,15340,640,89058100980099,89058100.980099,coordinated_like,1,1,418580000,418.58,4.7e-06,14,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1g204cphavzgc4fkz0wmwywsfqvf2wxvvc6ayt9euj220xy7zhfp,24300,640,602379273841,602379.273841,weak_behavior_signal,1,1,403000000,403.0,0.00066901,14,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1qe2l8gw8v7ydswfp9twytxcc3wzwdq8npt55f3vnlgv2u8sx3nt,60721,640,595013768459950,595013768.45995,probable_retained_like,3,3,397804621,397.804621,6.7e-07,12,14,emurgo+iog; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1nm3mpnnvtxvlmqt7lpnskm0clhtm7ngg4pm7qklv42j5qcvhhnw,28,640,721884162052,721884.162052,probable_retained_like,2,2,388605000,388.605,0.00053832,14,14,emurgo+iog; iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1jkdeccjwuun37e64l7zpjwe67xmsxmgpzkuhqtt0qjcrudkvfx2,23,640,4057851886658,4057851.886658,weak_behavior_signal,3,3,373308604,373.308604,9.2e-05,10,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1e7wfa29m9gqnqn6yh4uehv5tfz26dcmzhayh3gt5q4l25xrnv2c,82211,640,291030948222,291030.948222,coordinated_like,1,1,356943674,356.943674,0.00122648,13,14,emurgo+iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1tu2ttdwdmvyrnhczd9segf5w7jr88qmdwam60szll5hnut06n7t,6599,640,2408649208153,2408649.208153,weak_behavior_signal,2,2,353100000,353.1,0.0001466,13,13,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1678t8j9ufhasrflkjx6xlv2k8sy4998v5uu2vcfdh7ha2uran5p,47079,,,,weak_behavior_signal,2,2,351993290,351.99329,,14,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1lw0n54ypc0pcqeptzwycpp0nk3c3wh62gnss79txgcdjgds4tvl,6771,640,5921612409391,5921612.409391,coordinated_like,1,1,287711000,287.711,4.859e-05,14,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep14gjqh5uez0x22ppmtc96znnltzkssd8cxn9n72zhln93cfemuc6,15441,640,3456377655940,3456377.65594,weak_behavior_signal,1,1,285300000,285.3,8.254e-05,13,13,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1wwmwukesapdkwzqycnfmtlva4hxdgmvuudxpczv88ujewk5tgkt,1640,640,42554242042225,42554242.042225,weak_behavior_signal,6,6,275799603,275.799603,6.48e-06,14,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep156ve0n0022grgwz5yu49n6t0w60njz2veehux865e5e5kyfc0lq,1776,640,1089473858217,1089473.858217,weak_behavior_signal,1,1,269000000,269.0,0.00024691,14,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1ha70n565q7nx7f6y78dvsa4m90h9u2ahup9kccrrsng922zdag3,2084,640,3785505157650,3785505.15765,weak_behavior_signal,5,5,244766879,244.766879,6.466e-05,13,14,iog
2026-07-03 15:12:42.348269,abcde_forensics_stage_founders_depth14,drep1dvpm7ledk6kz3trwd78guzqs76j6n6r4hpfmy64wc3836r5vjrp,1403,,,,trace_only,1,1,221793975,221.793975,,14,14,iog
