asn,as_name,country,pools,stake_ada,delegators,pools_single_asn,stake_single_asn,delegators_single_asn
56300,"MYREPUBLIC-SG - MyRepublic Ltd., SG",SG,2,11792485,1967,2,11792485,1967
3352,"Telefonica_de_EspaNa - TELEFONICA DE ESPANA S.A.U., ES",ES,4,10840909,2322,3,10458320,2291
203273,"NetCraftersOU - NetCrafters OU, EE",AE,1,10437033,3,1,10437033,3
16019,"VODAFONE-CZ-AS - Vodafone Czech Republic a.s., CZ",CZ,2,9212905,596,2,9212905,596
46785,"QUASAR-DATA-CENTER - QUASAR DATA CENTER, LTD., US",US,1,7490489,858,1,7490489,858
49203,"EAD-AS - EAD.RO INTERACTIVE SRL, RO",RO,1,7267327,1174,1,7267327,1174
135967,"BKNS-AS-VN - Bach Kim Network solutions Join stock company, VN",VN,1,6285275,606,1,6285275,606
13335,"CLOUDFLARENET - Cloudflare, Inc., US",US,1,5959232,200,1,5959232,200
205275,"ROMARG - ROMARG SRL, RO",RO,1,5472658,616,1,5472658,616
20860,"IOMART-AS - IOMART CLOUD SERVICES LIMITED, GB",GB,3,73596189,1284,2,5071589,977
3215,"AS3215 - Orange S.A., FR",FR,2,4924614,377,2,4924614,377
701,"UUNET - Verizon Business, US",US,12,164720879,9257,5,4860123,444
4771,"SPARKNZ - Spark New Zealand Trading Ltd., NZ",NZ,2,4633787,756,2,4633787,756
42831,"UKSERVERS-AS - UK Dedicated Servers Limited, GB",GB,1,4590329,1067,1,4590329,1067
58791,"GMO-I-R2 - GMO Internet, Inc., JP",JP,3,46511937,107,1,4254037,10
7018,"ATT-INTERNET4 - AT&T Enterprises, LLC, US",US,17,12750845,1136,13,4184471,600
213757,"IMPRESSIVE-SOLUTIONS-AS - Impressive Solutions OU, EE",DE,3,7786852,723,2,4028781,219
24971,"MASTER-AS - MasterDC s.r.o., CZ",CZ,1,3576997,181,1,3576997,181
7684,"SAKURA-A - SAKURA Internet Inc., JP",JP,4,13092439,298,1,3354083,264
719,"ELISA-AS - Elisa Oyj, FI",FI,1,3216482,131,1,3216482,131
133159,"MAMMOTHMEDIA-AS-AP - Mammoth Media Pty Ltd, AU",AU,3,3184370,635,3,3184370,635
141995,"CAPL-AS-AP - Contabo Asia Private Limited, SG",DE,21,335674845,9053,3,3081746,1050
25394,"MK-NETZDIENSTE-AS - MK Netzdienste Verwaltungs GmbH trading as MK Netzdienste GmbH & Co. KG, DE",DE,1,2713759,1280,1,2713759,1280
131965,"XSERVER - Xserver Inc., JP",JP,6,44455542,874,2,2585868,10
5650,"FRONTIER-FRTR - Frontier Communications of America, Inc., US",US,2,2769241,320,1,2477558,299
2764,"AAPT - AAPT Limited, AU",AU,1,2422824,43,1,2422824,43
3462,"HINET - Data Communication Business Group, TW",TW,2,2415739,109,2,2415739,109
20001,"TWC-20001-PACWEST - Charter Communications Inc, US",US,1,2383457,156,1,2383457,156
6724,"STRATO - Strato GmbH, DE",DE,2,2274283,179,2,2274283,179
19527,"GOOGLE-2 - Google LLC, US",US,1,2148375,2,1,2148375,2
10947,"WERCS-NET - Mountain West Technologies Corporation, US",US,2,8508746,657,1,2022317,141
29802,"HVC-AS - HIVELOCITY, Inc., US",US,3,57342683,1557,2,2012647,67
11426,"TWC-11426-CAROLINAS - Charter Communications Inc, US",US,1,1937613,130,1,1937613,130
6848,"TELENET-AS - Telenet BV, BE",BE,4,2606072,590,3,1750796,423
49981,"WorldStream - WorldStream B.V., NL",CW,16,637935751,267666,1,1737099,22
22612,"NAMECHEAP-NET - Namecheap, Inc., US",US,1,1691116,48,1,1691116,48
5089,"NTL - Virgin Media Limited, GB",GB,4,2075239,384,3,1621335,234
33363,"BHN-33363 - Charter Communications, Inc, US",US,1,1416646,65,1,1416646,65
25255,"H3G-Austria-AS - Hutchison Drei Austria GmbH, AT",AT,1,1299687,17,1,1299687,17
50266,"Odido - Odido Netherlands B.V., NL",NL,3,1267607,108,3,1267607,108
214996,"netcup - netcup GmbH, DE",AT,15,143928041,4429,1,1262061,184
20845,"DIGICABLE - DIGI Tavkozlesi es Szolgaltato Kft., HU",HU,1,1254381,752,1,1254381,752
20634,"TELECOM-LI - Telecom Liechtenstein AG, LI",LI,1,1253459,31,1,1253459,31
133481,"AIS-Fibre-AS-AP - AIS Fibre, TH",TH,2,26516359,58,1,1249088,15
9009,"M247 - M247 Europe SRL, RO",RO,3,1386952,59,1,1060590,46
6561,"JUCE - JUCE Communications Inc, CA",CA,3,952849,61,3,952849,61
6730,"SUNRISE - Sunrise GmbH, CH",CH,3,5139291,527,2,935276,83
