flow_level,leaf_utxos,qty_night,pct_of_supply
918,1,8941.938156,0.0
919,1,242.012379,0.0
920,1,1.290799,0.0
921,1,153000.0,0.0006
922,1,5.940467,0.0
924,1,4.361849,0.0
925,3,10.738253,0.0
926,1,60.237924,0.0
927,1,8.278838,0.0
928,1,149.404893,0.0
929,2,38.783235,0.0
930,1,35.344445,0.0
931,1,64.284167,0.0
932,2,104.0678,0.0
933,3,1167.558377,0.0
934,1,21.599904,0.0
935,1,0.002284,0.0
937,1,564.407941,0.0
938,1,0.209828,0.0
939,1,1.177006,0.0
940,1,683.616313,0.0
942,3,5790.388685,0.0
943,2,11.930495,0.0
945,3,450225.345896,0.0019
946,1,0.947316,0.0
947,1,4763.296092,0.0
952,1,120000.0,0.0005
954,2,10231.365197,0.0
956,1,4.94417,0.0
961,1,1089.093439,0.0
965,1,40.0,0.0
967,1,1672.95,0.0
969,1,494.045205,0.0
971,1,182.98646,0.0
972,2,217.125504,0.0
973,1,276065.04028,0.0012
974,1,1114.4794,0.0
975,1,120.0,0.0
978,1,57.115376,0.0
980,1,3.15691,0.0
981,1,1007.307582,0.0
984,1,3888.029466,0.0
985,1,42.391511,0.0
986,1,0.830579,0.0
990,1,2.203546,0.0
991,1,1107.573444,0.0
993,1,2295.165119,0.0
996,2,640.454059,0.0
1003,1,87.975919,0.0
1005,1,508.209836,0.0
1006,1,0.108743,0.0
1007,1,500.0,0.0
1009,1,72412.969596,0.0003
1010,1,60935.0,0.0003
1013,1,1.722287,0.0
1014,2,100864.776836,0.0004
1015,1,1070.822958,0.0
1017,1,14.475983,0.0
1020,1,7766.24871,0.0
1022,1,729.14971,0.0
1024,1,226.505068,0.0
1025,1,358.08382,0.0
1027,1,2.991696,0.0
1028,1,0.288964,0.0
1030,1,61522.6052,0.0003
1031,1,439.737308,0.0
1032,1,0.056313,0.0
1034,1,0.168697,0.0
1035,1,181.559478,0.0
1036,2,27350.026933,0.0001
1037,2,1780.74268,0.0
1041,1,17.413378,0.0
1043,2,1067.638004,0.0
1045,1,0.210379,0.0
1047,1,0.223972,0.0
1048,1,2200.245432,0.0
1049,1,0.745803,0.0
1052,1,85.00462,0.0
1054,1,713674.311633,0.003
1070,1,20141.6466,0.0001
1087,1,40.0,0.0
1092,1,137.292218,0.0
1098,1,105435.0,0.0004
1099,2,646534.50886,0.0027
1115,1,18514.4248,0.0001
1116,2,68263.2284,0.0003
1119,1,55935.0,0.0002
1123,1,55935.0,0.0002
1149,1,67493.0,0.0003
1150,1,2062.2089,0.0
1155,1,303752.7232,0.0013
1157,1,55935.0,0.0002
1160,1,55935.0,0.0002
1161,2,165520.0,0.0007
1162,2,109676.19,0.0005
1163,1,554.85,0.0
1165,1,400.0,0.0
1176,1,59185.0,0.0002
1177,1,2852.0,0.0
1179,2,422283.1531,0.0018
1195,1,106000.0,0.0004
1210,1,16230.024235,0.0001
1215,1,10000.0,0.0
1216,1,10025.0,0.0
1217,1,888.0,0.0
1221,1,17077.6846,0.0001
1227,1,633.0,0.0
1245,2,7601.0,0.0
1267,2,73349.6973,0.0003
1268,2,51608.5,0.0002
1269,1,548.46,0.0
1286,1,180.0,0.0
1295,1,144.5453,0.0
1305,1,200000.0,0.0008
1306,1,4221.15,0.0
1307,1,84609.0,0.0004
1320,1,581884.26536,0.0024
1326,3,143677.297754,0.0006
