address,has_script,qty_night,utxos,pct_of_supply
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwfr64afsr8x3yjnztz2p4n8v9ymd6qkwwmwv6nk8tfrfzhsan6zrh,true,14250089.682063,1,0.0594
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkw2839jvz3zy2edxx56tlvng67d25xx9tqln7wkqnjhthfks28d59a,true,14110274.954259,1,0.0588
addr1qxyucap2p7tstjr6zjs2ycqxx5n7rqml250ymn0yjp62nrvfe36z5ruhqhy8599q5fsqvdf8uxph74g7fhx7fyr54xxs2yh76c,false,14000921.88345801,37,0.0583
addr1qx33hwqcxy45lehzranzqv8nv2c68jfky34fxhljphjwg4agmt3vjcdgzfrc0hx2jql9eaadq64wtkdx03gvv7634jcs8f42mu,false,13443306.5633,2,0.056
addr1q9jyxv08t3l4npxknf80lkhfatf55kmmyundw3r4kl8zr2nvsq73ukf5sqyqg7x0gkq64zp5tzvz8cl9hkwlvfdx4xhqrd73a9,false,13000000.0,2,0.0542
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwtvtullmn7zucxg04fguwcgqpc50wfx84hc3390jp258ynqkqucal,true,12908222.876392,20,0.0538
addr1x8z7n429sfah3edwj5cgle7hjur5ge6z20shr644lrxe9l79a825tqnm0rj6a9fs3lna09c8g3n5y5lpw84tt7xdjtlslelrez,true,12812142.104842,10,0.0534
DdzFFzCqrhsuDgf1oWKVxLJPUBW3KA3gTsrpPkyN1NqmzaHydXMh5KwV1LEeiazze2BCRacCxbCMmZnySX46ryLNmE4utCnd9ETdHiCb,false,12467544.113023,1,0.0519
addr1qxlcq0ulvg2qnycf7jm2y5fy0nutf0lpslymt0x5dcguv5e3z5a943kpsckkvtsz64huf22dkhhzspxpectr8kfpu8fsevuj8p,false,11910411.662609,1,0.0496
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwgwej2ksd7arhuv2hggvtquhycy7f89k8zjfjnmjms4lx4qqd8p8k,true,11677525.930537,1,0.0487
addr1qxwrg2y9yp0v5qezzlvkzf7kf5um9um62elpjmm6zfe0azhrzr27g03klu862usxqsru794d03gzkk8n86ta34n85z0sykf7lw,false,11333626.164555,1,0.0472
addr1v8nesus3q7r0l52g0fdj9ve2k8kmhd8dgmnpck065e977ps8ehz40,false,11163851.038097,118,0.0465
addr1vx8hc87p8qecqhaqpg53r68u2dkt8n2egxj0rqekphcf6jsxvh3wf,false,11125904.97,101,0.0464
addr1qx4aasaflmvn5rqj9w8r7t4xuh6ckm9uwzu8te3rgtzl2kpkzeur97kzc6tcn2ygff4dr5kfrmcfnaare9qsx8kad6fq48hr0p,false,10000000.0,3,0.0417
addr1v87muf6ur65gnfl08ey0d0lvy6tjxxgrczxlcsrcwcdr6ccqje853,false,9644380.8456,82,0.0402
addr1q9dzdj37v824ynjvddz0quk9nctr5dltdu0n646fjagt6qlrzr27g03klu862usxqsru794d03gzkk8n86ta34n85z0stmc5r8,false,9107428.465912,1,0.0379
addr1x9qy3qeu59ngqfwe2uv4qz7n8y2wzzk0n5h3t0r2sdmflrzqfzpnegtxsqjaj4ce2q9axwg5uy9vl8f0zk7x4qmkn7xq27ppet,true,9023504.17,8,0.0376
addr1z9vcd07vpjluvr0v3hu8w9wvjhgrs9a2cwrtp6wn8ksrkwdjec8vnztph7c57l7clxqvv8t2lkwugcz3ydh5e86g4nwsl3ty2f,true,8974528.279732,9,0.0374
