root_seed_id,pool_id_bech32,latest_distinct_stake_addresses_with_current_value,current_lovelace,current_ada
cf,pool1v4xevkf7fx08pzy7atsk59dds6p0sdyl6xmhwf4mh79x6l5p6kx,5,256771383292,256771.383292
cf,pool1yxhf37v04q6cyrf8a4g64xsmvepwg5t2zc0qcquqjlph55ye2ef,1,256322855258,256322.855258
cf,pool18j287g2sccele52hhxc0csk2ghfghwndqm9yahdqnhjks840wtq,1,255307000000,255307.000000
cf,pool1xxhs2zw5xa4g54d5p62j46nlqzwp8jklqvuv2agjlapwjx9qkg9,8,251334349482,251334.349482
cf,pool1zc7vxe3ymyej76h8wu8gm79chtt7w9c3adkza4uhrjvagr9w4zp,6,250934175411,250934.175411
cf,pool1qcfzjvw0em6g02pwjqpnfh6260epge5ll3z37ckhcylsjuktkvp,1,250043248207,250043.248207
cf,pool1ell3xjtspzzz4vtsatscan6rheltf7j3hh2s8qsam2h3jvcxzm9,5,245091930222,245091.930222
cf,pool1qqqqpanw9zc0rzh0yp247nzf2s35uvnsm7aaesfl2nnejaev0uc,2,244123318624,244123.318624
cf,pool16tcjctesjnks0p8sfrlf8f3d3vrp2fdn2msy80sgg3cdjtayu3z,8,236962708680,236962.708680
cf,pool1457cnl7qu568h98xrw8krfnjkhf05mfhaq2l50epwy36yuln20q,2,234400645599,234400.645599
cf,pool1aqg6fvhcaulvss2ruvpx6ur9vj7pejvdcxv6xp0qlwuwx94evf0,7,232319862896,232319.862896
cf,pool1e556526sqwugxwnmeumt9lhj5jukklg8vv3ynk75xt9vs7adr5y,5,232179532227,232179.532227
cf,pool12n6lycv28kjtkzecfz2a3uujyxy6ewuwjcmjq84my67psqmgagv,2,231278014857,231278.014857
cf,pool1ljlmfg7p37ysmea9ra5xqwccue203dpj40w6zlzn5r2cvjrf6tw,4,230559006523,230559.006523
cf,pool1kffetqjt06qvk4995tz3e3q9h3c8cdq9eedrz8qr3ynnc63qckz,1,227167541110,227167.541110
cf,pool18zf8txwv8lmtpq2src8wrhz0pjut5qft8h5tfxnctwc95r7jvvj,4,226036146512,226036.146512
cf,pool17pv7m8h5dxsyt55upay8n8ake2cgcz4mcr737um2tl8d2wthzqr,4,219708462199,219708.462199
cf,pool1m3h5p82m6v99nda37rmed8vrkqt43e2a8d89k76gw5ets0gdyag,2,219290828857,219290.828857
cf,pool12z39rkzfylvn9wfe8j6x9ucq6g2l4mw4azj70y0gd8ejczznyj3,5,215956000862,215956.000862
cf,pool1mut4phum9hegtl8m2r68gpjh5x8w8t6zwf75zrphhp3qwwrrpgt,5,212214975837,212214.975837
